AirlineID,AirlineName.En,AirlineName.Zh_tw,AirlineNameAlias.En,AirlineNameAlias.Zh_tw,AirlineEmail,AirlineAddress,AirlinePhone,UpdateTime,VersionID,AirlineICAO,AirlineIATA,AirlineNationality
"",Executive Aviation Taiwan Corp.,,,,"",台北市民生東路三段132號4樓D室,02-87125280,2024-02-16T08:41:24+08:00,1252,,,
"",GREAT  WING  AIRLINES,,,,"",台中市沙鹿區中清路42號,04-26152695,2024-02-16T08:41:24+08:00,1252,,,
"",Sunrise Airline,,,,"",臺北市松山區敦化北路340-2號,02-25452341,2024-02-16T08:41:24+08:00,1252,SRA,,
"",Win Air Business Jet,,,,"",台北市敦化北路340號之102樓,02-2717-1838,2024-02-16T08:41:24+08:00,1252,WBJ,,
00,Janet,,Janet,,"",,,2024-02-16T08:41:24+08:00,1252,WWW,00,
02,Viva Aerobus,,Viva Aerobus,,"",,,2024-02-16T08:41:24+08:00,1252,VIV,02,
0B,Blue Air,,Blue Air,,"",,,2024-02-16T08:41:24+08:00,1252,BMS,0B,
0D,Darwin Airline,,Darwin Airline,,"",,,2024-02-16T08:41:24+08:00,1252,DWT,0D,
0V,Vietnam Air Service Company,,Vietnam Air Service Company,,"",,,2024-02-16T08:41:24+08:00,1252,VFC,0V,
1B,BH Air,,BH Air,,"",,,2024-02-16T08:41:24+08:00,1252,BGH,1B,
1L,Novair,,Novair,,"",,,2024-02-16T08:41:24+08:00,1252,NVR,1L,
1T,1Time,,1Time,,"",,,2024-02-16T08:41:24+08:00,1252,RNX,1T,
2B,Aerocondor,,Aerocondor,,"",,,2024-02-16T08:41:24+08:00,1252,ARD,2B,
2D,Dubrovnik Airline,,Dubrovnik Airline,,"",,,2024-02-16T08:41:24+08:00,1252,DBK,2D,
2E,Smokey Bay Air,,Smokey Bay Air,,"",,,2024-02-16T08:41:24+08:00,1252,PHW,2E,
2F,Frontier Flying Service,,Frontier Flying Service,,"",,,2024-02-16T08:41:24+08:00,1252,FTA,2F,
2I,Star Peru,,Star Peru,,"",,,2024-02-16T08:41:24+08:00,1252,SRU,2I,
2J,Air Burkina,,Air Burkina,,"",,,2024-02-16T08:41:24+08:00,1252,VBW,2J,
2K,Avianca Ecuador,,Avianca Ecuador,,"",,,2024-02-16T08:41:24+08:00,1252,GLG,2K,
2L,Helvetic Airways,,Helvetic Airways,,"",,,2024-02-16T08:41:24+08:00,1252,OAW,2L,
2M,Moldavian Airlines,,Moldavian Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,MDV,2M,
2N,Nextjet,,Nextjet,,"",,,2024-02-16T08:41:24+08:00,1252,NTJ,2N,
2P,Air Philippines,,Air Philippines,,"",,,2024-02-16T08:41:24+08:00,1252,GAP,2P,
2Q,Air Cargo Carriers,,Air Cargo Carriers,,"",,,2024-02-16T08:41:24+08:00,1252,ETS,2Q,
2T,Alajnihah Airways,,Alajnihah Airways,,"",,,2024-02-16T08:41:24+08:00,1252,ANH,2T,
2W,Welcome Air,,Welcome Air,,"",,,2024-02-16T08:41:24+08:00,1252,WLC,2W,
3B,Burkina Airlines,,Burkina Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,BFR,3B,
3E,East Asia Airlines,,East Asia Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,EMU,3E,
3H,Air Inuit,,Air Inuit,,"",,,2024-02-16T08:41:24+08:00,1252,AIE,3H,
3K,Jetstar Asia Airways Pte Ltd,捷星亞洲航空股份有限公司,,捷星航空,"",台北市松江路111號11F-1,02-2509-5111,2024-02-16T08:41:24+08:00,1252,JSA,3K,SQ
3L,InterSky,,InterSky,,"",,,2024-02-16T08:41:24+08:00,1252,ISK,3L,
3M,Gulfstream International,,Gulfstream International,,"",,,2024-02-16T08:41:24+08:00,1252,GFT,3M,
3N,Air Urga,,Air Urga,,"",,,2024-02-16T08:41:24+08:00,1252,URG,3N,
3O,Jubba Airways,,Jubba Airways,,"",,,2024-02-16T08:41:24+08:00,1252,JUN,3O,
3P,Tiara Air,,Tiara Air,,"",,,2024-02-16T08:41:24+08:00,1252,TNM,3P,
3S,Air Guyane Express,,Air Guyane Express,,"",,,2024-02-16T08:41:24+08:00,1252,GUY,3S,
3T,Turan Air,,Turan Air,,"",,,2024-02-16T08:41:24+08:00,1252,URN,3T,
3U,Sichuan Airlines,四川航空公司,Sichuan Airlines,四川航空,"",,,2024-02-16T08:41:24+08:00,1252,CSC,3U,CN
3V,TNT Airways,,TNT Airways,,"",,,2024-02-16T08:41:24+08:00,1252,TAY,3V,
3X,Japan Air Commuter,,Japan Air Commuter,,"",,,2024-02-16T08:41:24+08:00,1252,JAC,3X,
3Y,Kartika Airlines,,Kartika Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,KAE,3Y,
3Z,Everts Air/Tatonduk Outfitters,,Everts Air/Tatonduk Outfitters,,"",,,2024-02-16T08:41:24+08:00,1252,NEC,3Z,
43,Gotlandsflyg,,Gotlandsflyg,,"",,,2024-02-16T08:41:24+08:00,1252,GOT,43,
4A,Air Kiribati,,Air Kiribati,,"",,,2024-02-16T08:41:24+08:00,1252,AKL,4A,
4B,Aviastar-Tu Co.,,Aviastar-Tu Co.,,"",,,2024-02-16T08:41:24+08:00,1252,PAG,4B,
4C,LATAM Airlines Colombia,,LATAM Airlines Colombia,,"",,,2024-02-16T08:41:24+08:00,1252,ARE,4C,
4D,Air Sinai,,Air Sinai,,"",,,2024-02-16T08:41:24+08:00,1252,ASD,4D,
4E,Tanana Air Service,,Tanana Air Service,,"",,,2024-02-16T08:41:24+08:00,1252,TNR,4E,
4G,Gazpromavia,,Gazpromavia,,"",,,2024-02-16T08:41:24+08:00,1252,GZP,4G,
4H,United Airways (Bangladesh),,United Airways (Bangladesh),,"",,,2024-02-16T08:41:24+08:00,1252,UBD,4H,
4I,Izair,,Izair,,"",,,2024-02-16T08:41:24+08:00,1252,IZM,4I,
4J,Somon Air,,Somon Air,,"",,,2024-02-16T08:41:24+08:00,1252,SMR,4J,
4K,Kenn Borek Air,,Kenn Borek Air,,"",,,2024-02-16T08:41:24+08:00,1252,AAS,4K,
4L,Euroline,,Euroline,,"",,,2024-02-16T08:41:24+08:00,1252,MJX,4L,
4M,LATAM Airlines Argentina,,LATAM Airlines Argentina,,"",,,2024-02-16T08:41:24+08:00,1252,DSM,4M,
4N,Air North,,Air North,,"",,,2024-02-16T08:41:24+08:00,1252,ANT,4N,
4O,Interjet,,Interjet,,"",,,2024-02-16T08:41:24+08:00,1252,AIJ,4O,
4P,Viking Airlines,,Viking Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,VIK,4P,
4Q,Safi Airways,,Safi Airways,,"",,,2024-02-16T08:41:24+08:00,1252,SFW,4Q,
4R,HI Hamburg International,,HI Hamburg International,,"",,,2024-02-16T08:41:24+08:00,1252,HHI,4R,
4T,Belair,,Belair,,"",,,2024-02-16T08:41:24+08:00,1252,BHP,4T,
4U,Germanwings,,Germanwings,,"",,,2024-02-16T08:41:24+08:00,1252,GWI,4U,
4V,Fly Gangwon,江原航空,Fly Gangwon,江原航空,"",,,2024-02-16T08:41:24+08:00,1252,FGW,4V,KR
4W,Allied Air,,Allied Air,,"",,,2024-02-16T08:41:24+08:00,1252,AJK,4W,
4Y,Blue Line,,Blue Line,,"",,,2024-02-16T08:41:24+08:00,1252,BLE,4Y,
4Z,Airlink,,Airlink,,"",,,2024-02-16T08:41:24+08:00,1252,LNK,4Z,
5B,Euro Asia International,,Euro Asia International,,"",,,2024-02-16T08:41:24+08:00,1252,EAK,5B,
5C,CAL Cargo Airlines,,CAL Cargo Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,ICL,5C,
5D,AeromAcxico Connect,,AeromAcxico Connect,,"",,,2024-02-16T08:41:24+08:00,1252,SLI,5D,
5E,Equaflight Service,,Equaflight Service,,"",,,2024-02-16T08:41:24+08:00,1252,EKA,5E,
5F,Arctic Circle Air,,Arctic Circle Air,,"",,,2024-02-16T08:41:24+08:00,1252,BST,5F,
5H,Fly540,,Fly540,,"",,,2024-02-16T08:41:24+08:00,1252,FFV,5H,
5J,CEBU Pacific Air,宿霧航空,CEBU Pacific Air,宿霧航空,"",,,2024-02-16T08:41:24+08:00,1252,CEB,5J,PH
5K,Hi Fly,關島航空,Hi Fly,,"",,,2024-02-16T08:41:24+08:00,1252,HFY,5K,
5L,Aerosur,,Aerosur,,"",,,2024-02-16T08:41:24+08:00,1252,ASU,5L,
5N,Nordavia Regional Airlines,,Nordavia Regional Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,AUL,5N,
5O,Europe Airpost,,Europe Airpost,,"",,,2024-02-16T08:41:24+08:00,1252,FPO,5O,
5P,PAL Airlines,,PAL Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,PCP,5P,
5Q,BQB LA-neas AAcreas,,BQB LA-neas AAcreas,,"",,,2024-02-16T08:41:24+08:00,1252,BQB,5Q,
5R,Karthago Airlines,,Karthago Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,KAJ,5R,
5T,Canadian North/Air NorTerra Inc,,Canadian North/Air NorTerra Inc,,"",,,2024-02-16T08:41:24+08:00,1252,ANW,5T,
5U,LADE Lineas Aereas del Estado,,LADE Lineas Aereas del Estado,,"",,,2024-02-16T08:41:24+08:00,1252,LDE,5U,
5V,Lviv Airlines,,Lviv Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,UKW,5V,
5W,Flystar Astraeus,,Flystar Astraeus,,"",,,2024-02-16T08:41:24+08:00,1252,AEU,5W,
5X,UPS Airlines,優航,UPS Airlines,優航,"",,,2024-02-16T08:41:24+08:00,1252,UPS,5X,US
5Y,Atlas Air,阿特拉斯航空,Atlas Air,阿特拉斯航空,"",,,2024-02-16T08:41:24+08:00,1252,GTI,5Y,
5Z,Cemair,,Cemair,,"",,,2024-02-16T08:41:24+08:00,1252,KEM,5Z,
6B,TUIfly Nordic,,TUIfly Nordic,,"",,,2024-02-16T08:41:24+08:00,1252,BLX,6B,
6D,Pelita Air Service,,Pelita Air Service,,"",,,2024-02-16T08:41:24+08:00,1252,PAS,6D,
6E,IndiGo Airlines,,IndiGo Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,IGO,6E,
6F,Afrijet,,Afrijet,,"",,,2024-02-16T08:41:24+08:00,1252,FRJ,6F,
6H,Israir,,Israir,,"",,,2024-02-16T08:41:24+08:00,1252,ISR,6H,
6J,Skynet Asia Airways,空之子航空,Skynet Asia Airways,空之子航空,"",,,2024-02-16T08:41:24+08:00,1252,SNJ,6J,
6K,Kyrgyz Trans Avia,,Kyrgyz Trans Avia,,"",,,2024-02-16T08:41:24+08:00,1252,KTC,6K,
6L,Aklak Air,,Aklak Air,,"",,,2024-02-16T08:41:24+08:00,1252,AKK,6L,
6M,Air Minas Linhas AAcreas,,Air Minas Linhas AAcreas,,"",,,2024-02-16T08:41:24+08:00,1252,AMG,6M,
6O,Air Satellite,,Air Satellite,,"",,,2024-02-16T08:41:24+08:00,1252,ASJ,6O,
6P,Gryphon Airlines,,Gryphon Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,VOS,6P,
6Q,Cham Wings Airlines,,Cham Wings Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,SAW,6Q,
6R,Alrosa Mirny Air Enterprise,,Alrosa Mirny Air Enterprise,,"",,,2024-02-16T08:41:24+08:00,1252,DRU,6R,
6T,Air Mandalay,,Air Mandalay,,"",,,2024-02-16T08:41:24+08:00,1252,LMT,6T,
6V,Lignes AAcriennes Congolaises,,Lignes AAcriennes Congolaises,,"",,,2024-02-16T08:41:24+08:00,1252,LCG,6V,
6W,Saravia Saratov Airlines,,Saravia Saratov Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,SOV,6W,
7A,Air Next,,Air Next,,"",,,2024-02-16T08:41:24+08:00,1252,NXA,7A,
7B,Kras Air Airlines,,Kras Air Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,KJC,7B,
7C,Jeju Air,濟州航空,Jeju Air,濟州航空,"",,,2024-02-16T08:41:24+08:00,1252,JJA,7C,KR
7D,Donbassaero Airlines,,Donbassaero Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,UDC,7D,
7E,Sylt Air,,Sylt Air,,"",,,2024-02-16T08:41:24+08:00,1252,AWU,7E,
7F,First Air,,First Air,,"",,,2024-02-16T08:41:24+08:00,1252,FAB,7F,
7G,StarFlyer,星悅航空,StarFlyer,星悅航空,"",,,2024-02-16T08:41:24+08:00,1252,SFJ,7G,
7H,Corendon Airlines,,Corendon Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,CAI,7H,
7I,Insel Air,,Insel Air,,"",,,2024-02-16T08:41:24+08:00,1252,INC,7I,
7J,Tajik Air,,Tajik Air,,"",,,2024-02-16T08:41:24+08:00,1252,TZK,7J,
7K,Kogalymavia Airlines,,Kogalymavia Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,KGL,7K,
7L,Silk Way West Airlines,,Silk Way West Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,AZG,7L,
7Q,Air Libya,,Air Libya,,"",,,2024-02-16T08:41:24+08:00,1252,TLR,7Q,
7S,Arctic Transportation Services,,Arctic Transportation Services,,"",,,2024-02-16T08:41:24+08:00,1252,RYA,7S,
7T,Aero Express Del Ecuador,,Aero Express Del Ecuador,,"",,,2024-02-16T08:41:24+08:00,1252,RTM,7T,
7U,Aviaenergo,,Aviaenergo,,"",,,2024-02-16T08:41:24+08:00,1252,ERG,7U,
7V,Pelican Air,,Pelican Air,,"",,,2024-02-16T08:41:24+08:00,1252,PDF,7V,
7W,Wind Rose Aviation,,Wind Rose Aviation,,"",,,2024-02-16T08:41:24+08:00,1252,WRC,7W,
7Y,Flying Carpet Air Transportation,,Flying Carpet Air Transportation,,"",,,2024-02-16T08:41:24+08:00,1252,FCR,7Y,
7Z,Halcyonair,,Halcyonair,,"",,,2024-02-16T08:41:24+08:00,1252,HCV,7Z,
8A,Atlas Blue,天文航空,Atlas Blue,,"",,,2024-02-16T08:41:24+08:00,1252,BMM,8A,
8B,Caribbean Star Airlines,,Caribbean Star Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,GFI,8B,
8D,Expo Aviation,,Expo Aviation,,"",,,2024-02-16T08:41:24+08:00,1252,EXV,8D,
8E,Bering Air,,Bering Air,,"",,,2024-02-16T08:41:24+08:00,1252,BRG,8E,
8F,STP Airways,,STP Airways,,"",,,2024-02-16T08:41:24+08:00,1252,STP,8F,
8H,BH Air,,BH Air,,"",,,2024-02-16T08:41:24+08:00,1252,BGH,8H,
8J,Jet4you,,Jet4you,,"",,,2024-02-16T08:41:24+08:00,1252,JFU,8J,
8K,K-Mile Air,凱邁爾航空,K-Mile Air,凱邁爾航空,"",,,2024-02-16T08:41:24+08:00,1252,KMI,8K,TH
8L,Lucky Air,,Lucky Air,,"",,,2024-02-16T08:41:24+08:00,1252,LKE,8L,
8M,Myanmar Airways International,緬甸國際,Myanmar Airways International,緬甸國際,"",,,2024-02-16T08:41:24+08:00,1252,MMA,8M,
8N,barents AirLink,,barents AirLink,,"",,,2024-02-16T08:41:24+08:00,1252,NKF,8N,
8O,West Coast Air,,West Coast Air,,"",,,2024-02-16T08:41:24+08:00,1252,YWZ,8O,
8P,Pacific Coastal Airlines,,Pacific Coastal Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,PCO,8P,
8Q,Onur Air,,Onur Air,,"",,,2024-02-16T08:41:24+08:00,1252,OHY,8Q,
8R,Trip Linhas Aereas,,Trip Linhas Aereas,,"",,,2024-02-16T08:41:24+08:00,1252,TIB,8R,
8T,Air Tindi,,Air Tindi,,"",,,2024-02-16T08:41:24+08:00,1252,TID,8T,
8U,Afriqiyah Airways,,Afriqiyah Airways,,"",,,2024-02-16T08:41:24+08:00,1252,AAW,8U,
8V,Wright Air,,Wright Air,,"",,,2024-02-16T08:41:24+08:00,1252,ACP,8V,
8W,Private Wings Flugcharter GmbH,,Private Wings Flugcharter GmbH,,"",,,2024-02-16T08:41:24+08:00,1252,PWF,8W,
8Y,,中國郵航,,中國郵航,"",,,2024-02-16T08:41:24+08:00,1252,CYZ,8Y,CN
8Z,Wizz Air Bulgaria,,Wizz Air Bulgaria,,"",,,2024-02-16T08:41:24+08:00,1252,WVL,8Z,
99,V Air,威航,V Air,威航,"",,,2024-02-16T08:41:24+08:00,1252,VAX,99,
9B,Deutsche Bahn AG,,Deutsche Bahn AG,,"",,,2024-02-16T08:41:24+08:00,1252,2BB,9B,
9C,Air Spring,春秋航空,Air Spring,春秋航空,"",,,2024-02-16T08:41:24+08:00,1252,CQH,9C,CN
9D,ToumaA¯ Air Tchad,,ToumaA¯ Air Tchad,,"",,,2024-02-16T08:41:24+08:00,1252,THE,9D,
9E,XL Airways Germany,,XL Airways Germany,,"",,,2024-02-16T08:41:24+08:00,1252,GXL,9E,
9G,Perm Airlines,,Perm Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,PGP,9G,
9H,Bonaire Express,,Bonaire Express,,"",,,2024-02-16T08:41:24+08:00,1252,BXL,9H,
9J,Dana Air,,Dana Air,,"",,,2024-02-16T08:41:24+08:00,1252,DAN,9J,
9K,Cape Air,,Cape Air,,"",,,2024-02-16T08:41:24+08:00,1252,KAP,9K,
9L,Colgan Air,,Colgan Air,,"",,,2024-02-16T08:41:24+08:00,1252,CJC,9L,
9M,Central Mountain Air,,Central Mountain Air,,"",,,2024-02-16T08:41:24+08:00,1252,GLR,9M,
9N,SATENA,,SATENA,,"",,,2024-02-16T08:41:24+08:00,1252,NSE,9N,
9R,Phuket Airlines,,Phuket Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,VAP,9R,
9S,Southern Air,,Southern Air,,"",,,2024-02-16T08:41:24+08:00,1252,CQH,9S,
9T,Athabaska Airlines,,Athabaska Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,ABS,9T,
9U,Air Moldova,,Air Moldova,,"",,,2024-02-16T08:41:24+08:00,1252,MLD,9U,
9V,Avior Airlines,,Avior Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,ROI,9V,
9W,Jet Airways,,Jet Airways,,"",,,2024-02-16T08:41:24+08:00,1252,JAI,9W,
A2,Astra Airlines,,Astra Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,AZI,A2,
A3,Aegean Airlines,,Aegean Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,AEE,A3,
A5,Airlinair,,Airlinair,,"",,,2024-02-16T08:41:24+08:00,1252,RLA,A5,
A6,Air Alps Aviation,,Air Alps Aviation,,"",,,2024-02-16T08:41:24+08:00,1252,LPV,A6,
A8,Benin Golf Air,,Benin Golf Air,,"",,,2024-02-16T08:41:24+08:00,1252,BGL,A8,
A9,Georgian Airways,,Georgian Airways,,"",,,2024-02-16T08:41:24+08:00,1252,TGZ,A9,
AA,American Airlines,美國航空公司,American Airlines,美國航空,"",台北市長安東路一段25號11樓之1,02-25370121,2024-02-16T08:41:24+08:00,1252,AAL,AA,US
AB,airberlin,,airberlin,,"",,,2024-02-16T08:41:24+08:00,1252,BER,AB,
AC,Air Canada,加拿大航空,Air Canada,加拿大航空,"",,,2024-02-16T08:41:24+08:00,1252,ACA,AC,
AD,Azul Brazilian Airlines,安托諾夫航空,Azul Brazilian Airlines,安托諾夫航空,"",,,2024-02-16T08:41:24+08:00,1252,AZU,AD,
AE,Mandarin Airlines,華信航空股份有限公司,Mandarin Airlines,華信航空,"",台北市敦化北路405巷123弄3號,02-27171188,2024-02-16T08:41:24+08:00,1252,MDA,AE,TW
AF,Air France,法國航空,Air France,法國航空,"",,,2024-02-16T08:41:24+08:00,1252,AFR,AF,TW
AH,Air Algerie,,Air Algerie,,"",,,2024-02-16T08:41:24+08:00,1252,DAH,AH,
AI,Air India,印度航空,Air India,印度航空,"",,,2024-02-16T08:41:24+08:00,1252,AIC,AI,
AJ,Aero Contractors,,Aero Contractors,,"",,,2024-02-16T08:41:24+08:00,1252,NIG,AJ,
AK,AirAsia Berhad,馬亞洲航空,AirAsia Berhad,馬亞洲航空,"",,,2024-02-16T08:41:24+08:00,1252,AXM,AK,MY
AM,Aeromexico,,Aeromexico,,"",,,2024-02-16T08:41:24+08:00,1252,AMX,AM,
AO,Australian Airlines,,Australian Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,AUZ,AO,
AP,Air One,,Air One,,"",,,2024-02-16T08:41:24+08:00,1252,ADH,AP,
AR,Aerolineas Argentinas,,Aerolineas Argentinas,,"",,,2024-02-16T08:41:24+08:00,1252,ARG,AR,
AS,Alaska Airlines,,Alaska Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,ASA,AS,
AT,Royal Air Maroc,,Royal Air Maroc,,"",,,2024-02-16T08:41:24+08:00,1252,RAM,AT,
AU,Austral,,Austral,,"",,,2024-02-16T08:41:24+08:00,1252,AUT,AU,
AV,Avianca,哥倫比亞,Avianca,哥倫比亞,"",,,2024-02-16T08:41:24+08:00,1252,AVA,AV,
AX,Trans States Airlines,,Trans States Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,LOF,AX,
AY,Finnair,,Finnair,,"",,,2024-02-16T08:41:24+08:00,1252,FIN,AY,
AZ,Alitalia,義大利航空,Alitalia,義大利航空,"",台北市長安東路一段25號11樓,02-25682121,2024-02-16T08:41:24+08:00,1252,AZA,AZ,IT
B2,Belavia,,Belavia,,"",,,2024-02-16T08:41:24+08:00,1252,BRU,B2,
B4,ZanAir,,ZanAir,,"",,,2024-02-16T08:41:24+08:00,1252,TAN,B4,
B5,East African Safari Air,,East African Safari Air,,"",,,2024-02-16T08:41:24+08:00,1252,HSA,B5,
B6,JetBlue,,JetBlue,,"",,,2024-02-16T08:41:24+08:00,1252,JBU,B6,
B7,UNI AIRWAYS CORP.,立榮航空,,立榮航空,"",臺北市長安東路2段117號8樓,02-25135533,2024-02-16T08:41:24+08:00,1252,UIA,B7,TW
B8,Eritrean Airlines,,Eritrean Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,ERT,B8,
B9,Iran Airtour Airline,,Iran Airtour Airline,,"",,,2024-02-16T08:41:24+08:00,1252,IRB,B9,
BA,British Airways,英國亞洲,British Airways,,"",,,2024-02-16T08:41:24+08:00,1252,BAW,BA,
BB,Seabornes Airlines,,Seabornes Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,BBB,BB,
BC,Skymark Airlines,,Skymark Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,SKY,BC,
BD,bmi british midland,,bmi british midland,,"",,,2024-02-16T08:41:24+08:00,1252,BMA,BD,
BE,flybe,,flybe,,"",,,2024-02-16T08:41:24+08:00,1252,BEE,BE,
BF,Vincent Aviation,,Vincent Aviation,,"",,,2024-02-16T08:41:24+08:00,1252,VAL,BF,
BG,Biman Bangladesh Airlines,,Biman Bangladesh Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,BBC,BG,
BH,Hawkair Aviation,,Hawkair Aviation,,"",,,2024-02-16T08:41:24+08:00,1252,BHA,BH,
BI,Royal Brunei,汶萊航空,Royal Brunei,汶萊航空,"",,,2024-02-16T08:41:24+08:00,1252,RBA,BI,
BJ,Nouvelair,,Nouvelair,,"",,,2024-02-16T08:41:24+08:00,1252,LBT,BJ,
BK,Okay Airways,,Okay Airways,,"",,,2024-02-16T08:41:24+08:00,1252,OKA,BK,
BL,Pacific Airlines,越南太平洋,,越南太平洋,"",,02-7176774,2024-02-16T08:41:24+08:00,1252,PIC,BL,
BP,Air Botswana,,Air Botswana,,"",,,2024-02-16T08:41:24+08:00,1252,BOT,BP,
BR,EVA Air,長榮航空,EVA Air,長榮航空,"",桃園縣蘆竹鄉新南路一段376號,03-3516219,2024-02-16T08:41:24+08:00,1252,EVA,BR,TW
BS,British International Helicopter,,British International Helicopter,,"",,,2024-02-16T08:41:24+08:00,1252,BIH,BS,
BT,Air Baltic,,Air Baltic,,"",,,2024-02-16T08:41:24+08:00,1252,BTI,BT,
BV,Blue Panorama,,Blue Panorama,,"",,,2024-02-16T08:41:24+08:00,1252,BPA,BV,
BW,Caribbean Airlines,,Caribbean Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,BWA,BW,
